S_name',travel_mode',imp_friends','school_inter','Neigh_play','friend_meet','imp_kids','avg_mvpa','SD_mvpa',per_avg_under60',per_sixty_daily','mvpa_boys','mvpa_girls','0_30','30_40','40_50','50_60','60_70','70_80','80_90','more90','mvpa1','mvpa2','mvpa3','mvpa4','walk1','walk2','walk3','walk4','R_socio','R_sport','R_crime','R_walk','R_fit','R_outplay','R_min_outplay','R_simd','PA_home','PA_sc','PA_road','PA_Pfield','PA_park','PA_PG','PA_amenity','PA_SHOP','PA_F_home','PA_FSA','PA_OD','PA_H_garden','fsa_time','OD_time'
School +30,usual,0.3,30,0.2,0.4,0.25,74.08739528,16,0.205103514,0.311111111,80.26697585,67.94932821,0,0.004814636,0.052961001,0.147327877,0.218584497,0.237843043,0.177178623,0.161290323,74,72,74,74,48,41,43,39,0.01,0.22,-0.03,0.5,0.71,0.06,0.14,0.06,11,29,14,2.882888782,2.772864709,0.512335099,1.973211363,0.386056813,2.061030332,5,7,0,17,30
School +30,usual,0.3,30,0.2,0.4,0.25,73.25833414,16,0.214732788,0.287922705,80.32609756,66.89540714,0,0.013962446,0.053923929,0.146846413,0.22291767,0.242657679,0.163216177,0.156475686,72,70,74,74,47,39,44,39,0.05,0.31,0.01,0.49,0.71,0.08,0.07,0.04,10,29,14,3.023206548,2.723505055,0.317303804,1.871179586,0.372922484,2.082060664,5,7,0,16,29
School +30,usual,0.3,30,0.2,0.4,0.25,74.29101589,17,0.198363023,0.310628019,81.27151398,67.33065385,0.000962927,0.0105922,0.057294174,0.129513722,0.225324988,0.235435725,0.168030814,0.17284545,74,72,74,74,49,41,45,39,0.01,0.27,-0.03,0.51,0.72,0.08,0.09,0.04,11,29,15,2.946441984,2.755551276,0.402272508,1.974906115,0.387462687,2.033182475,6,7,0,17,30
School +30,usual,0.3,30,0.2,0.4,0.25,73.76094367,16,0.206547907,0.3,79.87515729,67.52182879,0.000481464,0.011073664,0.059701493,0.135291286,0.209436688,0.25324988,0.175734232,0.155031295,72,71,75,74,46,39,45,38,0.06,0.26,0,0.48,0.72,0.04,0.08,0.05,11,29,14,3.08781897,2.612999519,0.366393837,1.961714011,0.378911892,2.109619644,5,7,0,17,30
School +30,usual,0.3,30,0.2,0.4,0.25,74.33213288,17,0.20702937,0.319806763,80.95340405,67.72996154,0,0.007221955,0.058257102,0.141550313,0.220028888,0.220028888,0.175252768,0.177660087,74,72,74,75,50,41,44,40,0.03,0.29,0,0.52,0.7,0.08,0.11,0.06,11,29,15,3.058565238,2.868560424,0.369301878,1.978969668,0.371035147,2.073066923,5,7,0,16,30
School +30,usual,0.3,30,0.2,0.4,0.25,73.75283582,16,0.218584497,0.310628019,80.11808429,67.31980639,0,0.007221955,0.059220029,0.152142513,0.22291767,0.21762157,0.181511796,0.159364468,74,70,73,74,50,40,43,39,0,0.25,0,0.51,0.7,0.08,0.1,0.05,10,29,15,2.824053924,2.798863746,0.28344728,2.043870968,0.3743091,2.038709677,6,7,0,17,29
School+60,usual,0.3,60,0.2,0.4,0.25,80.6034858,18,0.119884449,0.486956522,87.70530693,73.88104967,0,0.003851709,0.032258065,0.083774675,0.175252768,0.232065479,0.185363505,0.287433799,79,78,80,82,47,39,42,39,0.06,0.28,-0.03,0.44,0.75,0.07,0.1,0.11,11,36,14,3.070987,2.685007222,0.380876264,1.90237843,0.377313433,2.034222436,6,7,0,17,29
School+60,usual,0.3,60,0.2,0.4,0.25,80.72051998,18,0.12662494,0.497584541,87.92341979,73.48285714,0,0.0052961,0.03033221,0.09099663,0.170438132,0.211844006,0.18343765,0.307655272,79,78,81,81,49,41,45,40,0.05,0.24,-0.05,0.47,0.75,0.05,0.09,0.06,10,36,15,2.744034665,3.012787675,0.422956187,1.779585941,0.360693308,2.029504092,6,7,0,17,29
School+60,usual,0.3,60,0.2,0.4,0.25,80.6635532,18,0.129995185,0.495169082,87.90674374,73.42733397,0.000481464,0.003851709,0.028406355,0.097255657,0.161290323,0.223399133,0.198363024,0.286952335,80,77,80,83,47,39,44,38,0.05,0.3,-0.05,0.45,0.74,0.08,0.08,0.1,11,36,14,3.048377468,2.882773231,0.296446798,1.888531536,0.376350506,2.075069812,6,7,0,17,29
School+60,usual,0.3,60,0.2,0.4,0.25,81.01080404,18,0.112181031,0.483091787,89.51479803,72.88316384,0,0.003370246,0.022147328,0.086663457,0.19258546,0.20847376,0.198844487,0.287915262,80,78,81,81,48,40,45,40,0.02,0.25,-0.01,0.48,0.72,0.06,0.09,0.04,11,36,15,2.736466057,3.033298026,0.365796822,2.072007703,0.380491093,2.017833414,5,7,0,17,30
